出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/09/07","114/7","1101","台泥","水泥工業","13535929","10107877","14429687","33.91465883488689","-6.193883484790765","83916845","79261662","5.87318368368304","-"
"114/09/07","114/7","1102","亞泥","水泥工業","5836590","6019299","6722518","-3.0353866787478077","-13.178514360244183","41097034","42207123","-2.63009871580207","-"
"114/09/07","114/7","1103","嘉泥","水泥工業","251867","247791","258383","1.64493464250114","-2.5218377370028215","1772889","1695827","4.544213531215154","-"
"114/09/07","114/7","1104","環泥","水泥工業","575078","627049","621001","-8.288188004446223","-7.394996143323441","4472556","4621653","-3.2260535353909088","-"
"114/09/07","114/7","1108","幸福","水泥工業","357412","361327","344972","-1.083506076213513","3.60608976960449","2730708","2755053","-0.8836490622866421","-"
"114/09/07","114/7","1109","信大","水泥工業","367999","390871","382035","-5.851546929805486","-3.6740089258837543","2590075","2855140","-9.283782931835216","-"
"114/09/07","114/7","1110","東泥","水泥工業","190570","222403","274186","-14.313206206750808","-30.4960865981487","1679561","1455702","15.378078755129827","-"
"114/09/07","114/7","1201","味全","食品工業","1850418","1736584","2154021","6.555052908468579","-14.094709383056154","12582396","13394338","-6.061830006081674","-"
"114/09/07","114/7","1203","味王","食品工業","439000","432438","475908","1.5174429629218524","-7.755280432352471","3383445","3553990","-4.79869104865236","-"
"114/09/07","114/7","1210","大成","食品工業","7933720","7980681","8506106","-0.5884334933322106","-6.72911905870912","58408239","59220142","-1.3709913090042911","-"
"114/09/07","114/7","1213","大飲","食品工業","23287","23916","19561","-2.6300384679712328","19.048105925054955","158479","94813","67.14901964920422","113年7月因產能不足,恢復產能後及積極推展業務,致使114年7月營收成長"
"114/09/07","114/7","1215","卜蜂","食品工業","2371761","2226284","2322796","6.534521202146716","2.108019817495811","16129752","15939888","1.1911250568385423","-"
"114/09/07","114/7","1216","統一","食品工業","57114520","55738019","59449406","2.4695908191498517","-3.92751779555207","395952807","380322621","4.109717680979065","-"
"114/09/07","114/7","1217","愛之味","食品工業","486959","424548","517832","14.700575671066641","-5.961972222651362","2914699","2879309","1.2291143465324492","-"
"114/09/07","114/7","1218","泰山","食品工業","893928","809797","977678","10.389146909657606","-8.566215052399665","5829793","6266981","-6.976054339402018","-"
"114/09/07","114/7","1219","福壽","食品工業","1105072","1099572","1196279","0.5001946211798772","-7.624224783683405","8244561","8238260","0.07648459747568054","-"
"114/09/07","114/7","1220","台榮","食品工業","275553","255918","267181","7.672379434037465","3.1334563460725127","1830187","1847202","-0.9211228658262605","-"
"114/09/07","114/7","1225","福懋油","食品工業","1006566","984253","1064684","2.2669984241856516","-5.458708875121633","7238277","7449335","-2.833246189089362","-"
"114/09/07","114/7","1227","佳格","食品工業","1928591","1980512","2139161","-2.6215948199253525","-9.843578861058143","14983683","15292526","-2.0195682518375317","-"
"114/09/07","114/7","1229","聯華","食品工業","978972","2140098","949035","-54.25573969042539","3.1544674327079614","7510611","7938676","-5.392145995125635","-"
"114/09/07","114/7","1231","聯華食","食品工業","1144425","963173","1115087","18.818218533949768","2.6310054731155508","7249873","6670887","8.679295571938184","-"
"114/09/07","114/7","1232","大統益","食品工業","1758494","1604514","1859450","9.596675379585346","-5.429347387668397","12259872","12823885","-4.398144556037425","-"
"114/09/07","114/7","1233","天仁","食品工業","160451","163079","171241","-1.6114889102827463","-6.301061077662475","1239896","1281636","-3.256774934536795","-"
"114/09/07","114/7","1234","黑松","食品工業","846219","768937","993979","10.050498285295154","-14.865505206850447","5542937","5912598","-6.252090874434555","-"
"114/09/07","114/7","1235","興泰","食品工業","12929","12486","6081","3.5479737305782475","112.61305706298306","81099","46855","73.0850496211717","子公司泰宇網通營收較去年同期增加854萬"
"114/09/07","114/7","1236","宏亞","食品工業","136074","96579","162934","40.89398316404187","-16.485202597370716","986056","1079599","-8.664606025014843","-"
"114/09/07","114/7","1256","鮮活果汁-KY","食品工業","507659","377955","450868","34.31731290762128","12.595926080360549","2302848","2518166","-8.550588007303729","-"
"114/09/07","114/7","1301","台塑","塑膠工業","14597054","14362122","17709919","1.635774992024159","-17.57695786186261","107186360","116927267","-8.330740339633525","-"
"114/09/07","114/7","1303","南亞","塑膠工業","21152898","20589873","22531108","2.7344753413486327","-6.11692065920593","152420499","147567352","3.2887674232983457","-"
"114/09/07","114/7","1304","台聚","塑膠工業","3514742","3908637","4531832","-10.077553888989947","-22.44324149703696","27236359","30015652","-9.259479021145367","-"
"114/09/07","114/7","1305","華夏","塑膠工業","752645","1019947","997410","-26.207440190519705","-24.540058752168115","5872691","6977772","-15.837161202744944","-"
"114/09/07","114/7","1307","三芳","塑膠工業","960365","767647","1085215","25.105028743680364","-11.504632722548067","6366002","6187003","2.8931455181127275","-"
"114/09/07","114/7","1308","亞聚","塑膠工業","465643","428134","570164","8.761042103640449","-18.331743147585605","3341065","3626233","-7.8640285938603505","-"
"114/09/07","114/7","1309","台達化","塑膠工業","1154534","1246157","1620940","-7.35244435492478","-28.77379791972559","9236533","10354853","-10.799960173263687","-"
"114/09/07","114/7","1310","台苯","塑膠工業","782309","757768","1033684","3.2385901753571016","-24.31836034997156","5522392","6692794","-17.48749475928887","-"
"114/09/07","114/7","1312","國喬","塑膠工業","1497211","1280315","1605255","16.94083096737912","-6.730644040977913","12613760","9918782","27.170452985054013","-"
"114/09/07","114/7","1313","聯成","塑膠工業","5132015","5143161","6062896","-0.2167149735347581","-15.353735244675152","34266655","44418036","-22.854186979361266","-"
"114/09/07","114/7","1314","中石化","塑膠工業","1645709","1471408","2430478","11.845864641214401","-32.28866914244852","13050763","19115005","-31.725034861356303","-"
"114/09/07","114/7","1315","達新","塑膠工業","227995","237222","157127","-3.889605517194864","45.10236942091429","1385519","1172657","18.15211097533209","-"
"114/09/07","114/7","1316","上曜","建材營造","344236","335525","124744","2.596229789136428","175.9539536971718","2057347","728852","182.27225829112083","主因子公司營收上升，致本年度營收較去年同期增加。"
"114/09/07","114/7","1319","東陽","汽車工業","1659710","1753048","2017106","-5.324326544395818","-17.71825575849757","14844436","14377139","3.2502780977494896","-"
"114/09/07","114/7","1321","大洋","塑膠工業","293248","317814","338679","-7.729678365333182","-13.414176845921949","2245692","2783953","-19.334414050811922","-"
"114/09/07","114/7","1323","永裕","塑膠工業","146930","167170","184175","-12.107435544655141","-20.222614361341115","1192557","1743412","-31.5963753834435","本月營收較去年同期減少主要係去年7月份精奕公司董事會暨營運團隊重組下，其已非本公司合併財務報告之子公司。"
"114/09/07","114/7","1324","地球","塑膠工業","52909","71021","61973","-25.50231621633038","-14.625724105658916","429671","466734","-7.940925666439557","-"
"114/09/07","114/7","1325","恆大","塑膠工業","19998","26477","24924","-24.47029497299543","-19.764082811747713","186124","198316","-6.14776417434801","-"
"114/09/07","114/7","1326","台化","塑膠工業","23302893","24792702","30018602","-6.009062666908996","-22.371824643932452","175759849","210435570","-16.47807022358435","-"
"114/09/07","114/7","1337","再生-KY","塑膠工業","51850","56280","68392","-7.87135749822317","-24.187039419815182","402164","504185","-20.234834435772584","-"
"114/09/07","114/7","1338","廣華-KY","汽車工業","444675","462259","356199","-3.8039281009131245","24.83892430916426","2947899","2846288","3.569947946237345","-"
"114/09/07","114/7","1339","昭輝","汽車工業","138894","127546","153125","8.89718219309112","-9.293714285714286","1046687","1107545","-5.494855739495912","-"
"114/09/07","114/7","1340","勝悅-KY","塑膠工業","4031","20548","22081","-80.38251897994938","-81.74448620986368","136980","232238","-41.01740455911608","由於受市場低迷影響，EVO膠粒銷售持續虧損，故公司調整營運，並暫停該車間生產營運，致營收下滑。"
"114/09/07","114/7","1341","富林-KY","塑膠工業","216790","184762","258163","17.334733332611684","-16.025921607666476","1490052","1568699","-5.013517570929796","-"
"114/09/07","114/7","1342","八貫","其他","190833","219872","167361","-13.20722966089361","14.024772796529657","1677237","1424958","17.704311284964188","-"
"114/09/07","114/7","1402","遠東新","紡織纖維","19378881","20454748","21849337","-5.25974213908673","-11.306777866989739","143269056","154772456","-7.432459429344457","-"
"114/09/07","114/7","1409","新纖","紡織纖維","2970720","3132986","3964766","-5.179276255942414","-25.07199668278027","23144742","26382390","-12.272004166415552","-"
"114/09/07","114/7","1410","南染","紡織纖維","13835","18073","22416","-23.449344325789852","-38.280692362598145","118172","131580","-10.189998480012159","-"
"114/09/07","114/7","1413","宏洲","紡織纖維","170323","169701","207960","0.36652700926924414","-18.098191959992306","1379260","1318199","4.63215341537962","-"
"114/09/07","114/7","1414","東和","紡織纖維","35243","37627","45179","-6.335875833842719","-21.992518648044445","295023","328077","-10.075073839373074","-"
"114/09/07","114/7","1416","廣豐","其他","25586","28952","29409","-11.626139817629179","-12.999421945662892","188408","185146","1.7618528080541842","-"
"114/09/07","114/7","1417","嘉裕","紡織纖維","26883","39386","24737","-31.744782409993398","8.675263774912075","166778","403012","-58.61711313807033","因結束國軍服裝供售與大陸代理品牌業務，致使營收減少"
"114/09/07","114/7","1418","東華","紡織纖維","18","17","87","5.882352941176471","-79.3103448275862","3566","6397","-44.25511958730655","配合客戶生產線出貨。"
"114/09/07","114/7","1419","新紡","紡織纖維","328379","273993","263356","19.849412211260873","24.69015325263142","2328919","2013152","15.685204097852521","-"
"114/09/07","114/7","1423","利華","紡織纖維","5403","3026","14437","78.55254461335096","-62.575327284061785","48314","72754","-33.59265469939797","由於去年同期基期偏高加上今年客戶受美國對等關稅所影響，表現不盡理想。"
"114/09/07","114/7","1432","大魯閣","運動休閒","118010","108963","114228","8.302818387893138","3.310922015617887","780221","750024","4.026137830256099","-"
"114/09/07","114/7","1434","福懋","紡織纖維","2186035","2180462","2284442","0.2555880359300002","-4.307704025753335","17119383","17077670","0.24425463192578378","-"
"114/09/07","114/7","1435","中福","其他","498","499","990","-0.20040080160320642","-49.696969696969695","3489","6698","-47.90982382800836","113年11月起中壢廠已無租金收入"
"114/09/07","114/7","1436","華友聯","建材營造","1472403","1193671","1220489","23.350822797906627","20.640415440040837","3125871","3262330","-4.18286929893665","-"
"114/09/07","114/7","1437","勤益控","其他","163031","68515","135086","137.94935415602424","20.68682172838044","552755","504192","9.631846598121351","-"
"114/09/07","114/7","1438","三地開發","建材營造","0","0","0","","","241","1660","-85.48192771084338","主係因本期尚未有建案完工入帳，以致累積營收變動較大。"
"114/09/07","114/7","1439","雋揚","建材營造","151483","73383","4344","106.42791927285612","3387.1777163904235","384743","68474","461.8818821742559","主係本公司按持有比例陸續認列聯合營運建案交屋之營收"
"114/09/07","114/7","1440","南紡","紡織纖維","1118170","1182380","1656569","-5.430572235660279","-32.50084964767541","9010790","10215423","-11.792296804547398","-"
"114/09/07","114/7","1441","大東","紡織纖維","123213","150015","201063","-17.866213378662135","-38.71920741260202","900970","864039","4.274228362377161","-"
"114/09/07","114/7","1442","名軒","建材營造","243543","202556","923255","20.234898003515077","-73.62126389783971","2381198","5926130","-59.818667494638156","本月認收20戶，去年同期認收77戶；本年累計認收205戶，去年累計認收508戶，故兩期差異大。"
"114/09/07","114/7","1443","立益物流","其他","83755","87039","77769","-3.773021289307092","7.697154393138654","589361","508130","15.986263357802137","-"
"114/09/07","114/7","1444","力麗","紡織纖維","564196","525398","633467","7.384497086018599","-10.935218409167328","4184849","4708718","-11.125512294429184","-"
"114/09/07","114/7","1445","大宇","紡織纖維","60875","70022","98569","-13.063037331124503","-38.24123203035437","463702","606538","-23.549390145382482","-"
"114/09/07","114/7","1446","宏和","紡織纖維","88424","9414","584157","839.2819205438708","-84.8629734814442","855242","2046934","-58.21838906383889","本期營建銷售戶數減少"
"114/09/07","114/7","1447","力鵬","紡織纖維","989263","2037885","2380505","-51.45638738201616","-58.443145467033254","15482925","20658491","-25.05297216529513","廠商及客戶為因應關稅可能的影響以及大陸石化產品產量過剩而外溢影響市場供需，故紛紛採取減產或歲修因應，使營業額大幅衰退。"
"114/09/07","114/7","1449","佳和","紡織纖維","158888","345469","204837","-54.008029664021954","-22.43198250316105","1511301","1788300","-15.48951518201644","-"
"114/09/07","114/7","1451","年興","紡織纖維","560734","593394","660632","-5.50393162047476","-15.121580547112462","3688381","3977926","-7.278793019276879","本年累計營收較去年累計營收減少7.28%，主係後龍關廠影響。"
"114/09/07","114/7","1452","宏益","紡織纖維","120814","111927","157403","7.939996604929999","-23.24542734255383","819863","937256","-12.525179886818542","-"
"114/09/07","114/7","1453","大將","建材營造","124","124","115","0.0","7.826086956521739","868","802","8.229426433915211","-"
"114/09/07","114/7","1454","台富","紡織纖維","126758","138473","128876","-8.460133022322042","-1.6434402060895745","943959","945568","-0.1701622728349521","無"
"114/09/07","114/7","1455","集盛","紡織纖維","498260","540172","823986","-7.7590100930814625","-39.530526004082596","4083584","5766064","-29.17900321605865","-"
"114/09/07","114/7","1456","怡華","建材營造","111026","151919","44361","-26.917633739031984","150.2783976916661","571219","583001","-2.020922777147895","本月認列建設收入較去年本月增加所致"
"114/09/07","114/7","1457","宜進","紡織纖維","242961","241456","283771","0.6233019680604334","-14.381314510644145","1909588","1918238","-0.4509346598284467","-"
"114/09/07","114/7","1459","聯發","紡織纖維","90428","87161","88152","3.7482360229919345","2.581903984027589","706876","771554","-8.38282220039038","-"
"114/09/07","114/7","1460","宏遠","紡織纖維","480777","440303","647279","9.192306207316326","-25.723374309996153","4183719","4330756","-3.3951808875863705","-"
"114/09/07","114/7","1463","強盛新","紡織纖維","25501","13353","25160","90.97581067924811","1.3553259141494436","724321","171680","321.90179403541475","子公司保強建設房屋售出入帳"
"114/09/07","114/7","1464","得力","紡織纖維","931432","816446","924774","14.083723847014989","0.7199596874479602","7218591","6224934","15.962530687072345","-"
"114/09/07","114/7","1465","偉全","紡織纖維","42849","42044","61582","1.9146608315098468","-30.41960313078497","232844","290781","-19.924616807838202","-"
"114/09/07","114/7","1466","聚隆","紡織纖維","192045","248417","252799","-22.692488839330643","-24.032531774255435","1537974","1541769","-0.24614582340156016","-"
"114/09/07","114/7","1467","南緯","紡織纖維","553642","398372","471406","38.97613286074323","17.44483523756592","2939578","2732939","7.561054235019515","-"
"114/09/07","114/7","1468","昶和","紡織纖維","71769","59407","81353","20.808995572912284","-11.78075793148378","527361","671144","-21.423569308523952","-"
"114/09/07","114/7","1470","大統新創","紡織纖維","60175","66860","57859","-9.998504337421478","4.002834476918025","472805","434765","8.749554356951457","-"
"114/09/07","114/7","1471","首利","電子零組件業","15135","18232","19763","-16.98661693725318","-23.417497343520722","117326","154762","-24.189400498830462","-"
"114/09/07","114/7","1472","三洋實業","建材營造","308984","296420","185298","4.238580392686053","66.7497760364386","2113181","1295754","63.08504546387663","本公司以專案收入為主要營收，因各財務報表期間所認列專案別不同，使得營業收入同期比較不具相同基礎，此為本公司營業特性。"
"114/09/07","114/7","1473","台南","紡織纖維","590440","626872","677950","-5.811712757947396","-12.908031565749686","4589500","4626529","-0.8003624315334454","-"
"114/09/07","114/7","1474","弘裕","紡織纖維","245238","208386","226583","17.684489361089515","8.233186073094627","1686218","1760842","-4.2379725154216","-"
"114/09/07","114/7","1475","業旺","紡織纖維","110781","118949","175414","-6.866808464131687","-36.845975805807974","870156","1120842","-22.36586423420964","-"
"114/09/07","114/7","1476","儒鴻","紡織纖維","3044362","3288358","3134777","-7.419995024872596","-2.8842562006803036","22136561","20360692","8.722046382313529","-"
"114/09/07","114/7","1477","聚陽","紡織纖維","2780854","2836232","3063423","-1.9525201041381663","-9.223962867681022","20393811","19365613","5.309400740374188","-"
"114/09/07","114/7","1503","士電","電機機械","2581751","3476781","2597572","-25.743065208881433","-0.6090687765343944","21736439","20686879","5.0735541112799085","-"
"114/09/07","114/7","1504","東元","電機機械","4857940","5269401","4681158","-7.808496639371344","3.776458730937943","33926490","32909623","3.0898773893581217","-"
"114/09/07","114/7","1506","正道","電機機械","96365","97677","77806","-1.3432025963123355","23.85291622754029","642993","589364","9.099469937084722","-"
"114/09/07","114/7","1512","瑞利","汽車工業","85184","80520","86415","5.7923497267759565","-1.4245212058091767","630791","641904","-1.7312557641017972","-"
"114/09/07","114/7","1513","中興電","電機機械","2321409","2616009","2085481","-11.261429146459358","11.31288177643431","15873487","14358010","10.554923697643336","-"
"114/09/07","114/7","1514","亞力","電機機械","840237","842897","644057","-0.3155782972296734","30.46003692219788","5472704","4923294","11.159398565269512","-"
"114/09/07","114/7","1515","力山","電機機械","415425","399072","458369","4.097756795766178","-9.36887093149842","2622590","4110303","-36.194728223199114","-"
"114/09/07","114/7","1516","川飛","其他","4721","7137","42735","-33.85175844192238","-88.95284895284895","45243","585803","-92.27675515488995","新拓展業務小量出貨，營收未及原有業務"
"114/09/07","114/7","1517","利奇","電機機械","143830","158134","214602","-9.045493062845434","-32.978257425373485","1200921","1095301","9.643011373129395","-"
"114/09/07","114/7","1519","華城","電機機械","2235813","2330489","2003638","-4.062495038594904","11.587672024587276","12730462","9686981","31.418261272526497","-"
"114/09/07","114/7","1521","大億","汽車工業","318508","299551","278492","6.328471612513395","14.368814903121095","2069398","2343518","-11.69694450821372","-"
"114/09/07","114/7","1522","堤維西","汽車工業","2228883","1365040","1691833","63.28334700814628","31.743676828623155","11460206","11988160","-4.4039619090836295","-"
"114/09/07","114/7","1524","耿鼎","汽車工業","203569","160524","222814","26.815304876529368","-8.637249005897296","1490769","1584197","-5.897498859043415","-"
"114/09/07","114/7","1525","江申","汽車工業","106015","98787","138813","7.3167522042374","-23.62747004963512","676624","823434","-17.828994187755182","-"
"114/09/07","114/7","1526","日馳","電機機械","71228","80451","57713","-11.464121017762364","23.417600887148478","480221","441371","8.802118852394019","-"
"114/09/07","114/7","1527","鑽全","電機機械","295508","259741","309026","13.7702557547711","-4.3743892099693875","1852765","1865324","-0.6732878577662648","-"
"114/09/07","114/7","1528","恩德","電機機械","265742","224388","302645","18.429684296842968","-12.193494027656165","1589471","2057952","-22.764427936122903","-"
"114/09/07","114/7","1529","樂事綠能","電機機械","106729","35709","28748","198.88543504438658","271.2571309308474","582255","382266","52.31671139991524","本月因台電交貨比去年同期多,致營收較去年同期增幅大"
"114/09/07","114/7","1530","亞崴","電機機械","186569","205636","240467","-9.272209146258437","-22.41388631288285","1222872","1061264","15.22787920818948","-"
"114/09/07","114/7","1531","高林股","電機機械","138008","121583","152511","13.509289950075257","-9.509478004865223","937634","962534","-2.5869216048472055","-"
"114/09/07","114/7","1532","勤美","電機機械","994227","1084300","1157729","-8.307018352854376","-14.122648737312446","7076399","12773050","-44.598987712410114","-"
"114/09/07","114/7","1533","車王電","汽車工業","301044","350211","162482","-14.03925062319573","85.27836929629129","2030457","1549992","30.997901924655096","本月營收較去年同期增加138,562仟元，主要係電動巴士相關營收增加138,638仟元所致。"
"114/09/07","114/7","1535","中宇","電機機械","1073688","1182692","859452","-9.216600771798575","24.927046536630318","6613141","6083029","8.714605832061626","-"
"114/09/07","114/7","1536","和大","汽車工業","401230","353502","504566","13.501479482435743","-20.48017504152083","2766515","3638098","-23.957106158217837","-"
"114/09/07","114/7","1537","廣隆","電機機械","566123","500269","725054","13.16371791975917","-21.919884587906555","3980168","4580509","-13.10642550860614","-"
"114/09/07","114/7","1538","正峰","電機機械","13820","11564","10507","19.50882047734348","31.53136004568383","74721","56678","31.834221391015916","-"
"114/09/07","114/7","1539","巨庭","電機機械","123095","116132","113171","5.995763441600936","8.769030935487006","846242","818299","3.414766485111188","-"
"114/09/07","114/7","1540","喬福","電機機械","34730","62813","27578","-44.70889783961919","25.93371528029589","325089","356129","-8.715942818473081","大陸市場成長"
"114/09/07","114/7","1541","錩泰","電機機械","337344","350492","234598","-3.751298175136665","43.79662230709554","2280581","1767640","29.01840872575864","-"
"114/09/07","114/7","1558","伸興","電機機械","748666","722909","810073","3.562965739809575","-7.580427936741503","4972988","4677191","6.3242446160526695","-"
"114/09/07","114/7","1560","中砂","電機機械","700303","715653","635210","-2.1448942434392086","10.247477212260513","4590522","3961502","15.878320899497211","無"
"114/09/07","114/7","1563","巧新","汽車工業","580762","616775","547262","-5.838920189696404","6.121382445702424","4213835","4374956","-3.6828027527591134","-"
"114/09/07","114/7","1568","倉佑","汽車工業","79855","86109","74262","-7.262887735312221","7.531442729794511","621821","640333","-2.8909957787588647","-"
"114/09/07","114/7","1582","信錦","電子零組件業","709152","690091","917229","2.7620994912265195","-22.685392633682536","5106450","5597689","-8.775746562554655","-"
"114/09/07","114/7","1583","程泰","電機機械","356086","431019","370526","-17.385080472090557","-3.8971624123543287","2235817","2564231","-12.807504472100993","-"
"114/09/07","114/7","1587","吉茂","汽車工業","239559","210352","193441","13.884821632311555","23.840861037732434","1438322","1206552","19.20928397615685","-"
"114/09/07","114/7","1589","永冠-KY","電機機械","712038","761138","579729","-6.450866991268338","22.822560196229617","4462363","3738485","19.36287025359203","-"
"114/09/07","114/7","1590","亞德客-KY","電機機械","2649095","2700503","2466034","-1.9036453579203578","7.42329586696696","19697987","18099561","8.831297068475859","本月營業收入換算匯率為4.0859972;本年累計營業收入換算匯率為4.3345656。"
"114/09/07","114/7","1597","直得","電機機械","92443","90746","84938","1.8700548784519428","8.835856742565165","617428","588935","4.8380551334187984","-"
"114/09/07","114/7","1598","岱宇","運動休閒","450913","361201","458429","24.837140539478018","-1.6395123345163591","3616187","3719907","-2.788241749054479","-"
"114/09/07","114/7","1603","華電","電器電纜","491968","463927","546321","6.044269895910348","-9.948912818654234","3342688","2717188","23.02012227346801","-"
"114/09/07","114/7","1604","聲寶","電器電纜","720933","776231","831972","-7.123910279285419","-13.346482814325482","5612982","5746224","-2.3187749033104175","-"
"114/09/07","114/7","1605","華新","電器電纜","14274827","12927141","15032496","10.42524406595395","-5.040207561006502","105446135","103936086","1.4528630604773785","-"
"114/09/07","114/7","1608","華榮","電器電纜","888754","973018","983730","-8.660065898061495","-9.65468167078365","6689227","6763773","-1.1021363372188866","-"
"114/09/07","114/7","1609","大亞","電器電纜","2605220","2746810","2688399","-5.154706732537016","-3.093997579972318","17748989","17035164","4.190303069580076","-"
"114/09/07","114/7","1611","中電","電器電纜","90240","94416","86707","-4.422979156075241","4.074642185752015","653444","673309","-2.9503541464617284","-"
"114/09/07","114/7","1612","宏泰","電器電纜","695123","808375","557638","-14.009834544611103","24.65488363418562","4721901","3842827","22.875711032528915","-"
"114/09/07","114/7","1614","三洋電","電器電纜","474252","473583","663720","0.141263516638055","-28.54637497740011","3360647","3454606","-2.719818121082404","-"
"114/09/07","114/7","1615","大山","電器電纜","443485","493218","538131","-10.083370842102275","-17.587910750356325","3307842","3259004","1.4985560005449519","-"
"114/09/07","114/7","1616","億泰","電器電纜","511929","433183","354641","18.178460373560366","44.35132993647097","3051248","2494825","22.30308739089916","-"
"114/09/07","114/7","1617","榮星","電器電纜","299036","269513","312481","10.95420258020949","-4.302661601825391","1902914","1934366","-1.6259590997773947","-"
"114/09/07","114/7","1618","合機","電器電纜","233579","519898","580373","-55.07214876764289","-59.7536411928191","2885946","2556070","12.905593352294733","114年7月超高壓線及其附屬器材與高壓線出貨量較去年同期減少。"
"114/09/07","114/7","1626","艾美特-KY","電器電纜","620253","901516","683686","-31.198891644740637","-9.278089649341949","5693641","5729205","-0.6207493011683122","-"
"114/09/07","114/7","1702","南僑","食品工業","1704755","1824918","1868017","-6.584569827247033","-8.73985622186522","13332255","13327111","0.03859801272758965","-"
"114/09/07","114/7","1707","葡萄王","生技醫療業","755035","883616","828098","-14.551683084054613","-8.822989549546069","5576338","5933885","-6.025512796422579","-"
"114/09/07","114/7","1708","東鹼","化學工業","513249","503006","508507","2.0363574191957947","0.932533868756969","3480471","3567297","-2.4339436834107167","-"
"114/09/07","114/7","1709","和益","化學工業","616618","605826","660172","1.7813695681598347","-6.597371594069425","5433638","6184604","-12.142507426506208","-"
"114/09/07","114/7","1710","東聯","化學工業","1720409","1850368","2350627","-7.02341372094632","-26.81063392873476","13670021","14002336","-2.3732825722793685","無"
"114/09/07","114/7","1711","永光","化學工業","621609","598086","693877","3.933046418073655","-10.415102388463662","4549582","4795128","-5.120739216971893","-"
"114/09/07","114/7","1712","興農","化學工業","1292618","1648875","1477212","-21.606064741111364","-12.496107532297328","11154333","11383321","-2.0116097929593657","-"
"114/09/07","114/7","1713","國化","化學工業","35405","29131","37503","21.53719405444372","-5.594219129136336","246193","307122","-19.838696023078775","-"
"114/09/07","114/7","1714","和桐","化學工業","1877684","1773191","1550261","5.892935391618838","21.120508095088503","12620503","10988903","14.847705908405961","-"
"114/09/07","114/7","1717","長興","化學工業","3304430","3297109","3756430","0.22204300798062787","-12.03270126157016","23769815","25346561","-6.220749236947766","-"
"114/09/07","114/7","1718","中纖","化學工業","4409611","4036164","4136869","9.252522940098569","6.592957137390621","27803708","25368090","9.60110910990934","本月份自結異業別合併營收資訊，未經會計師簽證或核閱。"
"114/09/07","114/7","1720","生達","生技醫療業","561502","563676","573665","-0.3856825552267615","-2.1202269617285348","4029267","3946683","2.092491340196312","-"
"114/09/07","114/7","1721","三晃","化學工業","176838","129787","230662","36.25247520938152","-23.334576133043154","1066880","1378794","-22.622233633160572","-"
"114/09/07","114/7","1722","台肥","化學工業","898712","910971","933103","-1.3457069434702094","-3.6856595681291346","7241664","7149503","1.2890546377839132","-"
"114/09/07","114/7","1723","中碳","化學工業","467445","510415","711610","-8.418639734333826","-34.3116313711162","3590526","4470181","-19.678285957548475","-"
"114/09/07","114/7","1725","元禎","化學工業","699940","770421","788899","-9.14837471979606","-11.276348429900406","4982092","4737141","5.170861496417354","-"
"114/09/07","114/7","1726","永記","化學工業","756644","785361","812915","-3.6565350202009013","-6.922125929525227","5772961","5326890","8.373948025958862","-"
"114/09/07","114/7","1727","中華化","化學工業","177598","188205","170343","-5.6358757737573395","4.259053791467803","1147464","1162012","-1.2519664168700495","-"
"114/09/07","114/7","1730","花仙子","化學工業","182743","199024","211860","-8.180420451804807","-13.743509865005192","1413793","1479551","-4.444456460101747","-"
"114/09/07","114/7","1731","美吾華","生技醫療業","129567","128665","118477","0.7010453503283721","9.360466588451766","926556","876452","5.7166849981516386","本期美吾髮及醫藥事業部出貨持續暢旺， 營收較去年同期成長9.4%"
"114/09/07","114/7","1732","毛寶","化學工業","57809","59928","47182","-3.535909758376719","22.523419948285362","394824","348772","13.204041608844747","-"
"114/09/07","114/7","1733","五鼎","生技醫療業","109234","144858","139800","-24.59235941404686","-21.86409155937053","1177935","1028455","14.534422993713871","-"
"114/09/07","114/7","1734","杏輝","生技醫療業","291707","268501","261180","8.642798350844132","11.688107818362814","1909526","1806589","5.697864871312733","-"
"114/09/07","114/7","1735","日勝化","化學工業","181105","167260","235449","8.277531986129379","-23.081006927190177","1365019","1531216","-10.853922634037263","-"
"114/09/07","114/7","1736","喬山","運動休閒","3361099","4550753","3314003","-26.141915414877495","1.421121224090624","26276275","21647989","21.379750331543498","-"
"114/09/07","114/7","1737","臺鹽","食品工業","263317","284962","255573","-7.595749608719759","3.0300540354419288","1939703","1872599","3.5834687511848506","-"
"114/09/07","114/7","1752","南光","生技醫療業","183908","189294","205844","-2.845309412870984","-10.656613746332173","1305095","1246610","4.691523411491966","-"
"114/09/07","114/7","1760","寶齡富錦","生技醫療業","144883","138211","152239","4.827401581639667","-4.831876194667595","1130188","1135790","-0.4932249799698888","-"
"114/09/07","114/7","1762","中化生","生技醫療業","72846","170105","68710","-57.17586196760824","6.019502255857954","609837","781580","-21.973822257478442","-"
"114/09/07","114/7","1773","勝一","化學工業","1000755","1037720","862374","-3.5621362217168406","16.046518100035485","6603865","6148171","7.411862812534004","-"
"114/09/07","114/7","1776","展宇","化學工業","84882","72710","119443","16.740475863017465","-28.935140611002737","639366","694802","-7.978675939332357","-"
